Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
"Hare, rå",478,"21,6",3,0,0,0,0,"73,3",114,
"Hasselnød, tørret",2502,"14,9","49,3","29,3",0,"8,2",0,"4,1",598,
"Havarti, 30+",1220,"30,1","18,5","1,4",0,0,0,"45,6",292,
"Havarti, 45+",1428,"24,5","26,8","1,2",0,0,0,"43,4",341,
"Havarti, 60+",1770,"19,5","38,1","1,7",0,0,0,"37,2",423,
"Havkat, plettet, rå",450,16,"4,8",0,0,0,0,"78,2",108,
"Havkat, rå",374,"16,1","2,7",0,0,0,0,"78,1",89,
"Havregryn, beriget",1529,13,"6,5","68,7",0,"11,2",0,"9,7",365,
"Havregryn, ikke beriget",1542,"13,3","6,5","68,7",0,"10,3",0,"9,5",369,
"Havregryn, uspec.",1533,"13,2","6,5","68,2",0,"10,1",0,"9,3",366,
"Havreklid, dansk",1544,"13,9","6,4","69,1",,"11,5",0,"8,5",369,
"Hellefisk, gravad",788,"12,4","15,6",0,0,0,0,"70,2",188,
"Hellefisk, røget",849,"14,9","16,1",0,0,0,0,"64,8",203,
"Hellefisk, rå",788,"12,4","15,6",0,0,0,0,"70,2",188,
"Helleflynder, røget",439,"20,6","2,4",0,0,0,0,76,105,
"Helleflynder, rå",439,"20,6","2,4",0,0,0,0,"74,5",105,
"Helt, rå",480,"21,7",3,0,0,0,0,74,115,
"Hestekød, råt",703,19,10,"0,6",0,0,0,70,168,
"Hindbær, dybfrost",228,"1,4","1,4","11,3",0,"4,4",0,"85,9",54,
"Hindbær, rå",228,"1,4","1,4","11,3",0,"4,4",0,"85,9",54,
Hindbærmarmelade,860,"0,6","0,6","49,3",45,"1,2",0,47,206,
"Hindbærsaft, sur, koncentreret",146,"0,5","0,5",7,0,0,0,"91,8",35,
"Hindbærsaft, sød, koncentreret",724,"0,5","0,5",41,40,0,0,"57,8",173,
"Hingino, 32+",1488,"32,8","24,7",1,0,0,0,"37,5",356,
"Hirse, hele korn",1504,11,"4,2","72,8",0,"8,5",0,"8,7",359,
Hirseflager,1564,"12,1","3,3","73,8",0,2,0,"9,8",374,
"Hjerte, høne (kylling), råt",621,"15,6","9,3","0,7",0,0,0,"73,6",148,
"Hjerte, kalv, råt",421,"14,9","3,7","1,8",0,0,0,77,101,
"Hjerte, okse, råt",427,"17,7","3,1","0,7",0,0,0,"77,1",102,
"Hjerte, svin, råt",455,17,"4,3","0,4",0,0,0,"78,6",109,
Honning,1399,"0,3",0,82,0,0,0,18,334,
"Honningmelon, rå",96,"0,6","0,2",5,0,"0,7",0,94,23,
"Hornfisk, rå",464,"21,4","2,7",0,0,0,0,"75,1",111,
"Hummer, kogt",378,"18,7","1,5","0,3",0,0,0,"76,8",90,
"Hummer, konserves",378,"18,7","1,5","0,3",0,0,0,"76,8",90,
"Hummer, rå",395,"19,6","1,3","0,8",0,0,0,76,94,
"Hvalkød, råt",488,"23,5","2,4",0,,0,0,"74,3",117,
"Hvedebrød, bolle, fin, industrifremstillet",1146,"8,8","2,8",54,0,"2,8",0,33,274,
"Hvedebrød, bolle, grov, industrifremstillet",1040,"8,4","2,7",50,0,"5,9",0,37,249,
"Hvedebrød, bolle, grov, med fedtrige frø, industrifremstillet",1211,"9,3","6,6",50,0,"4,6",0,32,289,
"Hvedebrød, bolle, italiensk, industrifremstillet",1129,9,"1,8",55,0,"2,9",0,32,270,
"Hvedebrød, fint, store",1137,"8,5","3,7",52,0,"3,1",0,"34,1",272,
"Hvedebrød, groft uden fedtrige frø, uden kerner",1077,"8,3","2,9",51,0,"4,3",0,"35,4",257,
"Hvedebrød, sandwich/toastbrød med fedtrige frø, industrifremstillet",1130,"8,3","5,6",48,0,"3,8",0,36,270,
"Hvedebrød, store, italiensk",1065,"8,2","1,6","52,6",0,"3,1",0,"35,7",255,
"Hvedebrød, store, med fedtrige frø",1168,"9,3","6,1","48,3",0,"4,1",0,"33,9",279,
"Hvedebrød, toastbrød, fint, industrifremstillet",1073,8,"2,7",51,0,"3,3",0,37,256,
"Hvedebrød, toastbrød, groft, industrifremstillet",1081,"8,3","2,9",51,0,"3,8",0,36,258,
"Hvedegryn, mannagryn",1497,"9,2","1,2","77,7",0,"2,7",0,"11,6",358,
"Hvedekerner, hele/knækkede",1439,"10,7",2,"75,4",0,11,0,"10,4",344,
"Hvedekim, rå",1594,"28,1","9,6","51,3",0,"12,3",0,"6,7",381,
Hvedekimolie,3700,0,100,0,0,0,0,0,884,
Hvedeklid,1216,"16,2","5,3","65,1",0,"40,2",0,"8,2",291,
Hvedemel,1476,"9,6","1,6","75,7",0,"3,7",0,"12,7",353,
"Hvide bønner, tørrede",1356,"21,3","2,7","62,3",0,"18,4",0,"9,8",324,
"Hvidkål, rå",126,"1,2","0,2",7,0,"2,3",0,"90,5",30,
"Hvidløg, rå",671,"6,4","0,5","33,1",0,"2,1",0,"58,6",160,
"Hvidløg, tørret, pulver",1462,"16,8","0,8","72,7",0,"9,9",0,"6,5",349,
"Hvidvin, medium",330,"0,1",0,"2,4",0,0,"9,9","87,5",79,
"Hvidvin, mousserende, champagne",316,"0,3",0,"1,4",0,0,"9,9","88,2",76,
"Hvidvin, Rhinskvin",280,"0,1",0,"2,9",0,0,"7,9",89,67,
"Hvidvin, sød",400,"0,2",0,"5,9",0,0,"10,2","83,4",96,
"Hvidvin, tør",281,"0,1",0,"0,2",0,0,"9,5","89,9",67,
"Hvidvin, uden alkohol",97,"0,2",0,"5,5",0,0,0,"95,1",23,
"Hvidvin, uspec.",345,"0,1",0,"2,6",,0,"10,3","86,9",82,
"Hvilling, rå",333,"18,3","0,6",0,0,0,0,80,80,
"Hyben pulver, tørret",1156,"4,5","1,5",83,0,43,0,"5,8",276,
"Hyben, rå",224,"0,6","0,5","14,7",0,"6,1",0,"83,4",54,
Hybensaft,969,0,0,57,57,0,0,42,232,
"Hyldebær, rå",280,"0,7","0,5","18,4",0,7,0,"79,8",67,
